Rowid,Timestamp,Anonymized Vehicle number,Vehicle type,Type of Payment code,Vehicle Code
2,Sat Jul 31 04:09:44 2021,174434,car,1,Thu A
3,Sat Aug 14 17:19:04 2021,8538286,car,2,Sat J
4,Mon Aug  2 18:23:45 2021,5521221,car,3,Sat A
5,Thu Jul 29 22:44:20 2021,3267767,car,4,Mon A
6,Sat Aug 14 03:57:47 2021,8411850,car,5,Thu J
7,Thu Aug 12 03:41:22 2021,6064250,car,6,Sat A
8,Sun Aug 22 10:29:58 2021,6871937,van,7,Thu A
9,Fri Aug  6 14:23:08 2021,2055930,car,8,Sun A
10,Sun Aug 15 13:43:51 2021,8775910,car,9,Fri A
11,Wed Aug  4 15:52:13 2021,4525747,car,10,Sun A
12,Wed Aug 18 02:22:15 2021,5276143,van,11,Wed A
13,Thu Aug 19 16:01:02 2021,5405144,van,12,Wed A
14,Tue Aug  3 14:55:00 2021,9309466,car,13,Thu A
15,Thu Aug  5 04:00:30 2021,6494070,van,14,Tue A
16,Sun Aug  8 13:08:17 2021,4880588,car,15,Thu A
17,Wed Aug  4 04:56:15 2021,6964507,car,16,Sun A
18,Sun Aug 15 11:22:44 2021,5740782,truck,17,Wed A
19,Fri Jul 30 11:20:47 2021,1060261,van,18,Sun A
20,Sun Aug  8 21:22:56 2021,6599783,car,19,Fri J
21,Wed Aug 11 10:33:15 2021,4573378,car,20,Sun A
22,Fri Aug  6 02:02:33 2021,1362666,car,21,Wed A
23,Mon Aug  9 05:07:58 2021,9227112,car,22,Fri A
24,Fri Aug 13 18:21:04 2021,1245885,car,23,Mon A
25,Thu Aug 12 01:36:28 2021,6702238,car,24,Fri A
26,Wed Aug 11 04:05:21 2021,7598066,car,25,Thu A
27,Sun Aug  8 19:09:41 2021,2959560,car,26,Wed A
28,Sun Aug  1 02:04:42 2021,9223690,car,27,Sun A
29,Sun Aug 15 11:11:42 2021,495967,car,28,Sun A
30,Sat Aug 14 03:39:26 2021,1920115,car,29,Sun A
31,Wed Aug 18 23:33:41 2021,9940618,truck,30,Sat A
32,Fri Aug  6 10:18:54 2021,733942,car,31,Wed A
33,Thu Aug 19 15:58:25 2021,3232373,truck,32,Fri A
34,Thu Aug 19 07:23:18 2021,2164250,truck,33,Thu A
35,Sun Aug  1 09:10:05 2021,3714822,truck,34,Thu A
36,Sat Aug  7 13:11:54 2021,9870882,van,35,Sun A
37,Tue Aug 10 01:27:00 2021,834998,car,36,Sat A
38,Tue Aug 10 14:31:35 2021,6715866,car,37,Tue A
39,Sun Aug  8 09:43:26 2021,9723146,car,38,Tue A
40,Mon Aug  2 16:18:51 2021,2871310,car,39,Sun A
41,Sat Aug 14 13:13:47 2021,7657312,van,40,Mon A
42,Tue Aug  3 03:53:05 2021,9802000,car,41,Sat A
43,Mon Aug 16 00:36:00 2021,6514220,car,42,Tue A
44,Fri Aug 20 02:10:55 2021,3803763,car,43,Mon A
45,Sat Aug 14 06:32:07 2021,2223161,car,44,Fri A
46,Fri Jul 30 02:19:56 2021,1228573,truck,45,Sat A
47,Wed Aug  4 14:30:03 2021,4872795,car,46,Fri J
48,Sat Aug 14 04:04:45 2021,2074513,van,47,Wed A
49,Thu Aug 12 04:58:14 2021,7368256,car,48,Sat A
50,Wed Aug 11 10:50:27 2021,2168309,car,49,Thu A
51,Sun Aug  8 08:37:17 2021,5131457,car,50,Wed A
52,Mon Aug  9 23:48:43 2021,2398430,car,51,Sun A
53,Wed Aug 18 17:50:45 2021,6065595,van,52,Mon A
54,Mon Aug  2 16:59:38 2021,9885768,car,53,Wed A
55,Thu Aug 19 04:54:56 2021,4327783,car,54,Mon A
56,Tue Aug 17 18:11:45 2021,3904834,truck,55,Thu A
57,Mon Aug  2 19:48:50 2021,1358382,car,56,Tue A
58,Tue Aug 17 16:46:31 2021,3579992,car,57,Mon A
59,Wed Aug 11 22:21:30 2021,8130760,car,58,Tue A
60,Fri Jul 30 09:54:24 2021,6546218,car,59,Wed A
61,Sat Aug  7 16:42:24 2021,3673515,car,60,Fri J
62,Wed Aug  4 20:43:54 2021,9888875,truck,61,Sat A
63,Sat Aug  7 20:44:08 2021,8136080,truck,62,Wed A
64,Thu Aug 12 19:23:36 2021,2078447,van,63,Sat A
65,Sat Aug  7 16:41:49 2021,8090807,car,64,Thu A
66,Sun Aug  1 07:32:04 2021,4309692,car,65,Sat A
67,Wed Aug 11 14:24:25 2021,3752767,car,66,Sun A
68,Wed Aug  4 23:10:29 2021,9407219,car,67,Wed A
69,Wed Aug  4 14:29:11 2021,2167845,van,68,Wed A
70,Tue Aug 17 01:20:54 2021,7903517,car,69,Wed A
71,Sat Aug 21 02:09:35 2021,7385817,car,70,Tue A
72,Thu Aug 19 17:52:30 2021,5673776,car,71,Sat A
73,Tue Aug 17 21:58:23 2021,823973,car,72,Thu A
74,Tue Aug 10 13:03:36 2021,9361361,car,73,Tue A
75,Sat Aug 21 19:25:57 2021,8744445,car,74,Tue A
76,Sun Aug  8 14:01:06 2021,2910050,car,75,Sat A
77,Thu Aug  5 11:21:12 2021,1686323,car,76,Sun A
78,Sun Aug  1 07:10:55 2021,9113006,car,77,Thu A
79,Fri Jul 30 15:53:32 2021,660597,car,78,Sun A
80,Sun Aug 22 16:38:30 2021,8500934,car,79,Fri J
81,Thu Aug 19 13:11:29 2021,395519,truck,80,Sun A
82,Mon Aug  9 14:17:00 2021,2616607,truck,81,Thu A
83,Sat Aug 14 10:36:28 2021,7218572,car,82,Mon A
84,Thu Aug 12 11:53:03 2021,994857,truck,83,Sat A
85,Mon Aug  2 20:12:17 2021,3168436,car,84,Thu A
86,Fri Aug 13 20:06:41 2021,1572712,car,85,Mon A
87,Thu Jul 29 17:35:21 2021,545955,car,86,Fri A
88,Sun Aug 22 05:39:41 2021,2013386,car,87,Thu J
89,Wed Aug 11 02:43:03 2021,6566889,car,88,Sun A
90,Wed Aug 11 02:39:24 2021,852585,car,89,Wed A
91,Thu Jul 29 14:30:02 2021,6196238,truck,90,Wed A
92,Mon Aug  2 11:07:12 2021,6031416,truck,91,Thu J
93,Wed Aug  4 15:15:09 2021,6905906,van,92,Mon A
94,Wed Aug 11 17:34:54 2021,3764238,car,93,Wed A
95,Thu Aug  5 06:31:23 2021,1673826,truck,94,Wed A
96,Sat Aug 21 18:13:29 2021,316662,car,95,Thu A
97,Thu Aug 19 22:17:26 2021,2992127,truck,96,Sat A
98,Thu Aug 19 12:02:31 2021,7517992,car,97,Thu A
99,Thu Aug 12 06:54:12 2021,6232948,truck,98,Thu A
100,Fri Jul 30 08:09:03 2021,4369477,car,99,Thu A
101,Fri Aug  6 18:18:53 2021,4388245,truck,100,Fri J
102,Sat Aug  7 20:49:07 2021,8392508,car,101,Fri A
103,Fri Jul 30 16:08:08 2021,6858708,car,102,Sat A
104,Fri Aug  6 06:59:16 2021,6215048,truck,103,Fri J
105,Fri Aug 13 11:20:04 2021,7046549,truck,104,Fri A
106,Wed Aug  4 18:37:46 2021,7899881,truck,105,Fri A
107,Fri Aug 20 01:13:53 2021,9824238,car,106,Wed A
108,Sun Aug  8 10:25:38 2021,8180012,car,107,Fri A
109,Tue Aug 10 12:42:19 2021,426578,car,108,Sun A
110,Thu Jul 29 11:33:20 2021,3284775,car,109,Tue A
111,Sat Jul 31 18:42:46 2021,5487227,car,110,Thu J
112,Thu Aug 12 23:09:32 2021,1772941,car,111,Sat J
113,Fri Aug 13 04:52:01 2021,2471284,van,112,Thu A
114,Sun Aug 22 03:05:40 2021,6040036,car,113,Fri A
115,Fri Aug 13 12:39:10 2021,9249042,truck,114,Sun A
116,Mon Aug  9 22:59:28 2021,5791925,car,115,Fri A
117,Fri Aug  6 01:01:14 2021,3696614,truck,116,Mon A
118,Mon Aug  2 05:42:51 2021,7892550,car,117,Fri A
119,Sun Aug  1 19:31:14 2021,5673214,van,118,Mon A
120,Fri Aug  6 05:58:42 2021,6657095,truck,119,Sun A
121,Mon Aug  9 16:03:31 2021,2067579,van,120,Fri A
122,Fri Aug 13 11:42:48 2021,1005686,car,121,Mon A
123,Sun Aug  8 02:44:35 2021,7521772,van,122,Fri A
124,Sun Aug 15 08:43:48 2021,6545042,car,123,Sun A
125,Mon Aug  9 05:03:17 2021,3473929,truck,124,Sun A
126,Sun Aug 22 02:13:18 2021,29457,car,125,Mon A
127,Sat Aug 21 23:03:24 2021,7360318,car,126,Sun A
128,Tue Aug 17 10:32:29 2021,3427163,truck,127,Sat A
129,Fri Jul 30 08:44:05 2021,3007179,van,128,Tue A
130,Fri Aug 20 06:01:27 2021,2151509,car,129,Fri J
131,Sat Jul 31 05:17:21 2021,1067960,car,130,Fri A
132,Tue Aug  3 07:01:26 2021,1100257,car,131,Sat J
133,Sun Aug 22 10:01:40 2021,4346999,car,132,Tue A
134,Sat Aug 14 17:24:04 2021,4371005,car,133,Sun A
135,Sat Aug 14 11:50:01 2021,1583109,car,134,Sat A
136,Wed Aug 18 07:26:20 2021,8808595,car,135,Sat A
137,Thu Aug  5 01:15:16 2021,1841800,van,136,Wed A
138,Sat Jul 31 00:28:44 2021,1825050,car,137,Thu A
139,Fri Aug 13 09:54:01 2021,8490556,car,138,Sat J
140,Thu Jul 29 23:02:42 2021,2549393,truck,139,Fri A
141,Wed Aug 11 13:15:55 2021,9636921,truck,140,Thu J
142,Thu Aug 19 21:13:57 2021,8899022,truck,141,Wed A
143,Thu Aug 19 08:46:24 2021,8112100,van,142,Thu A
144,Thu Jul 29 16:02:19 2021,335366,car,143,Thu A
145,Sat Jul 31 19:32:50 2021,1716955,truck,144,Thu J
146,Sat Aug 21 13:56:33 2021,4153555,van,145,Sat J
147,Sat Jul 31 12:55:05 2021,5626263,car,146,Sat A
148,Fri Aug  6 23:05:57 2021,49472,car,147,Sat J
149,Thu Aug  5 15:24:15 2021,2497636,car,148,Fri A
150,Tue Aug  3 19:13:15 2021,7825358,truck,149,Thu A
151,Sat Jul 31 11:27:59 2021,6084818,van,150,Tue A
152,Thu Aug 19 18:53:39 2021,5455899,car,151,Sat J
153,Tue Aug 17 22:11:51 2021,1849505,van,152,Thu A
