Type of Payment code,Vehicle Code
1,Thu A
2,Sat J
3,Sat A
4,Mon A
5,Thu J
6,Sat A
7,Thu A
8,Sun A
9,Fri A
10,Sun A
11,Wed A
12,Wed A
13,Thu A
14,Tue A
15,Thu A
16,Sun A
17,Wed A
18,Sun A
19,Fri J
20,Sun A
21,Wed A
22,Fri A
23,Mon A
24,Fri A
25,Thu A
26,Wed A
27,Sun A
28,Sun A
29,Sun A
30,Sat A
31,Wed A
32,Fri A
33,Thu A
34,Thu A
35,Sun A
36,Sat A
37,Tue A
38,Tue A
39,Sun A
40,Mon A
41,Sat A
42,Tue A
43,Mon A
44,Fri A
45,Sat A
46,Fri J
47,Wed A
48,Sat A
49,Thu A
50,Wed A
51,Sun A
52,Mon A
53,Wed A
54,Mon A
55,Thu A
56,Tue A
57,Mon A
58,Tue A
59,Wed A
60,Fri J
61,Sat A
62,Wed A
63,Sat A
64,Thu A
65,Sat A
66,Sun A
67,Wed A
68,Wed A
69,Wed A
70,Tue A
71,Sat A
72,Thu A
73,Tue A
74,Tue A
75,Sat A
76,Sun A
77,Thu A
78,Sun A
79,Fri J
80,Sun A
81,Thu A
82,Mon A
83,Sat A
84,Thu A
85,Mon A
86,Fri A
87,Thu J
88,Sun A
89,Wed A
90,Wed A
91,Thu J
92,Mon A
93,Wed A
94,Wed A
95,Thu A
96,Sat A
97,Thu A
98,Thu A
99,Thu A
100,Fri J
101,Fri A
102,Sat A
103,Fri J
104,Fri A
105,Fri A
106,Wed A
107,Fri A
108,Sun A
109,Tue A
110,Thu J
111,Sat J
112,Thu A
113,Fri A
114,Sun A
115,Fri A
116,Mon A
117,Fri A
118,Mon A
119,Sun A
120,Fri A
121,Mon A
122,Fri A
123,Sun A
124,Sun A
125,Mon A
126,Sun A
127,Sat A
128,Tue A
129,Fri J
130,Fri A
131,Sat J
132,Tue A
133,Sun A
134,Sat A
135,Sat A
136,Wed A
137,Thu A
138,Sat J
139,Fri A
140,Thu J
141,Wed A
142,Thu A
143,Thu A
144,Thu J
145,Sat J
146,Sat A
147,Sat J
148,Fri A
149,Thu A
150,Tue A
151,Sat J
152,Thu A
153,Tue A
154,Wed A
155,Sun A
156,Fri A
157,Fri J
158,Mon A
159,Fri A
160,Fri A
161,Sun A
162,Fri A
163,Fri J
164,Mon A
165,Sun A
166,Fri A
167,Sat J
168,Fri A
169,Tue A
170,Tue A
171,Fri A
172,Fri A
173,Thu A
174,Fri J
175,Fri A
176,Mon A
177,Tue A
178,Sun A
179,Fri A
180,Fri A
181,Tue A
182,Wed A
183,Tue A
184,Wed A
185,Fri A
186,Fri J
187,Wed A
188,Sun A
189,Wed A
190,Mon A
191,Tue A
192,Mon A
193,Mon A
194,Sat A
195,Sat A
196,Sun A
197,Sun A
198,Tue A
199,Mon A
200,Sat J
201,Fri A
202,Thu A
203,Tue A
204,Sun A
205,Wed A
206,Tue A
207,Fri A
208,Sun A
209,Sun A
210,Mon A
211,Wed A
212,Fri A
213,Wed A
214,Sat J
215,Mon A
216,Tue A
217,Tue A
218,Thu A
219,Mon A
220,Thu A
221,Fri A
222,Sun A
223,Thu A
224,Sun A
225,Fri A
226,Sat A
227,Sun A
228,Wed A
229,Wed A
230,Mon A
231,Fri A
232,Mon A
233,Thu A
234,Sat A
235,Mon A
236,Fri A
237,Mon A
238,Sat A
239,Sat J
240,Mon A
241,Sat A
242,Wed A
243,Mon A
244,Sat A
245,Sat A
246,Mon A
247,Wed A
248,Fri A
249,Mon A
250,Sun A
251,Sun A
252,Wed A
253,Mon A
254,Wed A
255,Mon A
256,Thu J
257,Mon A
258,Sun A
259,Tue A
260,Tue A
261,Tue A
262,Mon A
263,Fri A
264,Thu A
265,Fri A
266,Thu A
267,Tue A
268,Mon A
269,Tue A
270,Mon A
271,Sun A
272,Thu A
273,Fri A
274,Sat A
275,Wed A
276,Thu J
277,Thu J
278,Sun A
279,Sun A
280,Sat J
281,Mon A
282,Fri A
283,Sat A
284,Fri A
285,Thu A
286,Sat A
287,Fri A
288,Wed A
289,Sat J
290,Sun A
291,Mon A
292,Fri A
293,Mon A
294,Wed A
295,Sun A
296,Wed A
297,Sat A
298,Tue A
299,Wed A
300,Mon A
301,Thu A
302,Mon A
303,Sun A
304,Tue A
305,Tue A
306,Wed A
307,Thu A
308,Fri J
309,Sat A
310,Sat A
311,Sat A
312,Sun A
313,Mon A
314,Thu A
315,Tue A
316,Sat A
317,Thu A
318,Sat J
319,Sun A
320,Fri J
321,Tue A
322,Mon A
323,Tue A
324,Tue A
325,Tue A
326,Sun A
327,Wed A
328,Sun A
329,Tue A
330,Sat A
331,Sat A
332,Wed A
333,Tue A
334,Sun A
335,Sat A
336,Sat A
337,Sat A
338,Thu A
339,Fri A
340,Tue A
341,Mon A
342,Sat A
343,Tue A
344,Sat A
345,Sun A
346,Fri A
347,Tue A
348,Mon A
349,Wed A
350,Sun A
351,Tue A
352,Fri A
353,Thu J
354,Sat J
355,Sun A
356,Mon A
357,Thu A
358,Tue A
359,Sat A
360,Fri A
361,Mon A
362,Tue A
363,Mon A
364,Mon A
365,Wed A
366,Tue A
367,Thu A
368,Sat A
369,Fri A
370,Sun A
371,Sat A
372,Sat A
373,Sat J
374,Tue A
375,Sun A
376,Wed A
377,Thu A
378,Tue A
379,Sat A
380,Mon A
381,Sun A
382,Fri A
383,Fri A
384,Sat A
385,Sat J
386,Sun A
387,Sat J
388,Mon A
389,Fri J
390,Tue A
391,Sun A
392,Sat A
393,Sat A
394,Sun A
395,Tue A
396,Mon A
397,Thu A
398,Sat J
399,Sat A
400,Fri A
401,Fri A
402,Fri A
403,Sat J
404,Thu J
405,Mon A
406,Mon A
407,Fri A
408,Thu A
409,Fri A
410,Tue A
411,Tue A
412,Sat J
413,Mon A
414,Tue A
415,Wed A
416,Sat A
417,Sat A
418,Tue A
419,Sun A
420,Mon A
421,Tue A
422,Tue A
423,Thu A
424,Wed A
425,Sat A
426,Thu A
427,Sun A
428,Thu A
429,Wed A
430,Thu A
431,Wed A
432,Fri A
433,Tue A
434,Sun A
435,Sat J
436,Thu A
437,Wed A
438,Mon A
439,Thu A
440,Thu A
441,Thu A
442,Wed A
443,Mon A
444,Mon A
445,Mon A
446,Thu A
447,Thu A
448,Mon A
449,Fri A
450,Sat A
451,Fri J
452,Thu J
453,Sat A
454,Wed A
455,Thu A
456,Tue A
457,Sat A
458,Thu A
459,Thu A
460,Fri A
461,Wed A
462,Mon A
463,Mon A
464,Wed A
465,Sun A
466,Thu A
467,Sun A
468,Fri A
469,Thu A
470,Tue A
471,Sun A
472,Sun A
473,Sun A
474,Fri J
