Rowid,Timestamp,Anonymized Vehicle number,Vehicle type,Type of Payment code,Vehicle Code
2,Sat Jul 31 04:09:44 2021,174434,CAR,1,Thu A
3,Sat Aug 14 17:19:04 2021,8538286,CAR,2,Sat J
4,Mon Aug  2 18:23:45 2021,5521221,CAR,3,Sat A
5,Thu Jul 29 22:44:20 2021,3267767,CAR,4,Mon A
6,Sat Aug 14 03:57:47 2021,8411850,CAR,5,Thu J
7,Thu Aug 12 03:41:22 2021,6064250,CAR,6,Sat A
8,Sun Aug 22 10:29:58 2021,6871937,VAN,7,Thu A
9,Fri Aug  6 14:23:08 2021,2055930,CAR,8,Sun A
10,Sun Aug 15 13:43:51 2021,8775910,CAR,9,Fri A
11,Wed Aug  4 15:52:13 2021,4525747,CAR,10,Sun A
12,Wed Aug 18 02:22:15 2021,5276143,VAN,11,Wed A
13,Thu Aug 19 16:01:02 2021,5405144,VAN,12,Wed A
14,Tue Aug  3 14:55:00 2021,9309466,CAR,13,Thu A
15,Thu Aug  5 04:00:30 2021,6494070,VAN,14,Tue A
16,Sun Aug  8 13:08:17 2021,4880588,CAR,15,Thu A
17,Wed Aug  4 04:56:15 2021,6964507,CAR,16,Sun A
18,Sun Aug 15 11:22:44 2021,5740782,TRUCK,17,Wed A
19,Fri Jul 30 11:20:47 2021,1060261,VAN,18,Sun A
20,Sun Aug  8 21:22:56 2021,6599783,CAR,19,Fri J
21,Wed Aug 11 10:33:15 2021,4573378,CAR,20,Sun A
22,Fri Aug  6 02:02:33 2021,1362666,CAR,21,Wed A
23,Mon Aug  9 05:07:58 2021,9227112,CAR,22,Fri A
24,Fri Aug 13 18:21:04 2021,1245885,CAR,23,Mon A
25,Thu Aug 12 01:36:28 2021,6702238,CAR,24,Fri A
26,Wed Aug 11 04:05:21 2021,7598066,CAR,25,Thu A
27,Sun Aug  8 19:09:41 2021,2959560,CAR,26,Wed A
28,Sun Aug  1 02:04:42 2021,9223690,CAR,27,Sun A
29,Sun Aug 15 11:11:42 2021,495967,CAR,28,Sun A
30,Sat Aug 14 03:39:26 2021,1920115,CAR,29,Sun A
31,Wed Aug 18 23:33:41 2021,9940618,TRUCK,30,Sat A
32,Fri Aug  6 10:18:54 2021,733942,CAR,31,Wed A
33,Thu Aug 19 15:58:25 2021,3232373,TRUCK,32,Fri A
34,Thu Aug 19 07:23:18 2021,2164250,TRUCK,33,Thu A
35,Sun Aug  1 09:10:05 2021,3714822,TRUCK,34,Thu A
36,Sat Aug  7 13:11:54 2021,9870882,VAN,35,Sun A
37,Tue Aug 10 01:27:00 2021,834998,CAR,36,Sat A
38,Tue Aug 10 14:31:35 2021,6715866,CAR,37,Tue A
39,Sun Aug  8 09:43:26 2021,9723146,CAR,38,Tue A
40,Mon Aug  2 16:18:51 2021,2871310,CAR,39,Sun A
41,Sat Aug 14 13:13:47 2021,7657312,VAN,40,Mon A
42,Tue Aug  3 03:53:05 2021,9802000,CAR,41,Sat A
43,Mon Aug 16 00:36:00 2021,6514220,CAR,42,Tue A
44,Fri Aug 20 02:10:55 2021,3803763,CAR,43,Mon A
45,Sat Aug 14 06:32:07 2021,2223161,CAR,44,Fri A
46,Fri Jul 30 02:19:56 2021,1228573,TRUCK,45,Sat A
47,Wed Aug  4 14:30:03 2021,4872795,CAR,46,Fri J
48,Sat Aug 14 04:04:45 2021,2074513,VAN,47,Wed A
49,Thu Aug 12 04:58:14 2021,7368256,CAR,48,Sat A
50,Wed Aug 11 10:50:27 2021,2168309,CAR,49,Thu A
51,Sun Aug  8 08:37:17 2021,5131457,CAR,50,Wed A
52,Mon Aug  9 23:48:43 2021,2398430,CAR,51,Sun A
53,Wed Aug 18 17:50:45 2021,6065595,VAN,52,Mon A
54,Mon Aug  2 16:59:38 2021,9885768,CAR,53,Wed A
55,Thu Aug 19 04:54:56 2021,4327783,CAR,54,Mon A
56,Tue Aug 17 18:11:45 2021,3904834,TRUCK,55,Thu A
57,Mon Aug  2 19:48:50 2021,1358382,CAR,56,Tue A
58,Tue Aug 17 16:46:31 2021,3579992,CAR,57,Mon A
59,Wed Aug 11 22:21:30 2021,8130760,CAR,58,Tue A
60,Fri Jul 30 09:54:24 2021,6546218,CAR,59,Wed A
61,Sat Aug  7 16:42:24 2021,3673515,CAR,60,Fri J
62,Wed Aug  4 20:43:54 2021,9888875,TRUCK,61,Sat A
63,Sat Aug  7 20:44:08 2021,8136080,TRUCK,62,Wed A
64,Thu Aug 12 19:23:36 2021,2078447,VAN,63,Sat A
65,Sat Aug  7 16:41:49 2021,8090807,CAR,64,Thu A
66,Sun Aug  1 07:32:04 2021,4309692,CAR,65,Sat A
67,Wed Aug 11 14:24:25 2021,3752767,CAR,66,Sun A
68,Wed Aug  4 23:10:29 2021,9407219,CAR,67,Wed A
69,Wed Aug  4 14:29:11 2021,2167845,VAN,68,Wed A
70,Tue Aug 17 01:20:54 2021,7903517,CAR,69,Wed A
71,Sat Aug 21 02:09:35 2021,7385817,CAR,70,Tue A
72,Thu Aug 19 17:52:30 2021,5673776,CAR,71,Sat A
73,Tue Aug 17 21:58:23 2021,823973,CAR,72,Thu A
74,Tue Aug 10 13:03:36 2021,9361361,CAR,73,Tue A
75,Sat Aug 21 19:25:57 2021,8744445,CAR,74,Tue A
76,Sun Aug  8 14:01:06 2021,2910050,CAR,75,Sat A
77,Thu Aug  5 11:21:12 2021,1686323,CAR,76,Sun A
78,Sun Aug  1 07:10:55 2021,9113006,CAR,77,Thu A
79,Fri Jul 30 15:53:32 2021,660597,CAR,78,Sun A
80,Sun Aug 22 16:38:30 2021,8500934,CAR,79,Fri J
81,Thu Aug 19 13:11:29 2021,395519,TRUCK,80,Sun A
82,Mon Aug  9 14:17:00 2021,2616607,TRUCK,81,Thu A
83,Sat Aug 14 10:36:28 2021,7218572,CAR,82,Mon A
84,Thu Aug 12 11:53:03 2021,994857,TRUCK,83,Sat A
85,Mon Aug  2 20:12:17 2021,3168436,CAR,84,Thu A
86,Fri Aug 13 20:06:41 2021,1572712,CAR,85,Mon A
87,Thu Jul 29 17:35:21 2021,545955,CAR,86,Fri A
88,Sun Aug 22 05:39:41 2021,2013386,CAR,87,Thu J
89,Wed Aug 11 02:43:03 2021,6566889,CAR,88,Sun A
90,Wed Aug 11 02:39:24 2021,852585,CAR,89,Wed A
91,Thu Jul 29 14:30:02 2021,6196238,TRUCK,90,Wed A
92,Mon Aug  2 11:07:12 2021,6031416,TRUCK,91,Thu J
93,Wed Aug  4 15:15:09 2021,6905906,VAN,92,Mon A
94,Wed Aug 11 17:34:54 2021,3764238,CAR,93,Wed A
95,Thu Aug  5 06:31:23 2021,1673826,TRUCK,94,Wed A
96,Sat Aug 21 18:13:29 2021,316662,CAR,95,Thu A
97,Thu Aug 19 22:17:26 2021,2992127,TRUCK,96,Sat A
98,Thu Aug 19 12:02:31 2021,7517992,CAR,97,Thu A
99,Thu Aug 12 06:54:12 2021,6232948,TRUCK,98,Thu A
100,Fri Jul 30 08:09:03 2021,4369477,CAR,99,Thu A
101,Fri Aug  6 18:18:53 2021,4388245,TRUCK,100,Fri J
102,Sat Aug  7 20:49:07 2021,8392508,CAR,101,Fri A
103,Fri Jul 30 16:08:08 2021,6858708,CAR,102,Sat A
104,Fri Aug  6 06:59:16 2021,6215048,TRUCK,103,Fri J
105,Fri Aug 13 11:20:04 2021,7046549,TRUCK,104,Fri A
106,Wed Aug  4 18:37:46 2021,7899881,TRUCK,105,Fri A
107,Fri Aug 20 01:13:53 2021,9824238,CAR,106,Wed A
108,Sun Aug  8 10:25:38 2021,8180012,CAR,107,Fri A
109,Tue Aug 10 12:42:19 2021,426578,CAR,108,Sun A
110,Thu Jul 29 11:33:20 2021,3284775,CAR,109,Tue A
111,Sat Jul 31 18:42:46 2021,5487227,CAR,110,Thu J
112,Thu Aug 12 23:09:32 2021,1772941,CAR,111,Sat J
113,Fri Aug 13 04:52:01 2021,2471284,VAN,112,Thu A
114,Sun Aug 22 03:05:40 2021,6040036,CAR,113,Fri A
115,Fri Aug 13 12:39:10 2021,9249042,TRUCK,114,Sun A
116,Mon Aug  9 22:59:28 2021,5791925,CAR,115,Fri A
117,Fri Aug  6 01:01:14 2021,3696614,TRUCK,116,Mon A
118,Mon Aug  2 05:42:51 2021,7892550,CAR,117,Fri A
119,Sun Aug  1 19:31:14 2021,5673214,VAN,118,Mon A
120,Fri Aug  6 05:58:42 2021,6657095,TRUCK,119,Sun A
121,Mon Aug  9 16:03:31 2021,2067579,VAN,120,Fri A
122,Fri Aug 13 11:42:48 2021,1005686,CAR,121,Mon A
123,Sun Aug  8 02:44:35 2021,7521772,VAN,122,Fri A
124,Sun Aug 15 08:43:48 2021,6545042,CAR,123,Sun A
125,Mon Aug  9 05:03:17 2021,3473929,TRUCK,124,Sun A
126,Sun Aug 22 02:13:18 2021,29457,CAR,125,Mon A
127,Sat Aug 21 23:03:24 2021,7360318,CAR,126,Sun A
128,Tue Aug 17 10:32:29 2021,3427163,TRUCK,127,Sat A
129,Fri Jul 30 08:44:05 2021,3007179,VAN,128,Tue A
130,Fri Aug 20 06:01:27 2021,2151509,CAR,129,Fri J
131,Sat Jul 31 05:17:21 2021,1067960,CAR,130,Fri A
132,Tue Aug  3 07:01:26 2021,1100257,CAR,131,Sat J
133,Sun Aug 22 10:01:40 2021,4346999,CAR,132,Tue A
134,Sat Aug 14 17:24:04 2021,4371005,CAR,133,Sun A
135,Sat Aug 14 11:50:01 2021,1583109,CAR,134,Sat A
136,Wed Aug 18 07:26:20 2021,8808595,CAR,135,Sat A
137,Thu Aug  5 01:15:16 2021,1841800,VAN,136,Wed A
138,Sat Jul 31 00:28:44 2021,1825050,CAR,137,Thu A
139,Fri Aug 13 09:54:01 2021,8490556,CAR,138,Sat J
140,Thu Jul 29 23:02:42 2021,2549393,TRUCK,139,Fri A
141,Wed Aug 11 13:15:55 2021,9636921,TRUCK,140,Thu J
142,Thu Aug 19 21:13:57 2021,8899022,TRUCK,141,Wed A
143,Thu Aug 19 08:46:24 2021,8112100,VAN,142,Thu A
144,Thu Jul 29 16:02:19 2021,335366,CAR,143,Thu A
